<http://billylongforcongress.com/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.billylongforcongress.com/donate>; rel="self"; type="application/link-format"; from="Sun, 22 Jan 2012 00:46:31 GMT",
<http://web.archive.org/web/https://www.billylongforcongress.com/donate>; rel="timegate",
<http://web.archive.org/web/20140829232951/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 29 Aug 2014 23:29:51 GMT",
<http://web.archive.org/web/20140829232958/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 29 Aug 2014 23:29:58 GMT",
<http://web.archive.org/web/20140905224125/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 05 Sep 2014 22:41:25 GMT",
<http://web.archive.org/web/20140905224127/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 05 Sep 2014 22:41:27 GMT",
<http://web.archive.org/web/20140905231547/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 05 Sep 2014 23:15:47 GMT",
<http://web.archive.org/web/20140905231552/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 05 Sep 2014 23:15:52 GMT",
<http://web.archive.org/web/20140912224523/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 12 Sep 2014 22:45:23 GMT",
<http://web.archive.org/web/20140912224525/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 12 Sep 2014 22:45:25 GMT",
<http://web.archive.org/web/20140912234911/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 12 Sep 2014 23:49:11 GMT",
<http://web.archive.org/web/20140912234927/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 12 Sep 2014 23:49:27 GMT",
<http://web.archive.org/web/20140920034441/http://billylongforcongress.com/donate>; rel="memento"; datetime="Sat, 20 Sep 2014 03:44:41 GMT",
<http://web.archive.org/web/20140920034918/https://billylongforcongress.com/donate>; rel="memento"; datetime="Sat, 20 Sep 2014 03:49:18 GMT",
<http://web.archive.org/web/20140920162659/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Sat, 20 Sep 2014 16:26:59 GMT",
<http://web.archive.org/web/20140920162701/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Sat, 20 Sep 2014 16:27:01 GMT",
<http://web.archive.org/web/20140926224255/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 26 Sep 2014 22:42:55 GMT",
<http://web.archive.org/web/20140926224342/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 26 Sep 2014 22:43:42 GMT",
<http://web.archive.org/web/20140926234644/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 26 Sep 2014 23:46:44 GMT",
<http://web.archive.org/web/20140926234646/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 26 Sep 2014 23:46:46 GMT",
<http://web.archive.org/web/20141003224948/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 03 Oct 2014 22:49:48 GMT",
<http://web.archive.org/web/20141003224951/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 03 Oct 2014 22:49:51 GMT",
<http://web.archive.org/web/20141004001836/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Sat, 04 Oct 2014 00:18:36 GMT",
<http://web.archive.org/web/20141004001839/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Sat, 04 Oct 2014 00:18:39 GMT",
<http://web.archive.org/web/20141010213206/http://billylongforcongress.com:80/donate>; rel="memento"; datetime="Fri, 10 Oct 2014 21:32:06 GMT",
<http://web.archive.org/web/20141010224735/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 10 Oct 2014 22:47:35 GMT",
<http://web.archive.org/web/20141010224829/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 10 Oct 2014 22:48:29 GMT",
<http://web.archive.org/web/20141010234633/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 10 Oct 2014 23:46:33 GMT",
<http://web.archive.org/web/20141010234659/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 10 Oct 2014 23:46:59 GMT",
<http://web.archive.org/web/20141017224522/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 17 Oct 2014 22:45:22 GMT",
<http://web.archive.org/web/20141017224524/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 17 Oct 2014 22:45:24 GMT",
<http://web.archive.org/web/20141017235217/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 17 Oct 2014 23:52:17 GMT",
